date,fx_rate_usd_ngn
2019-04-15,306.92
2019-04-22,306.92
2019-04-29,306.92
2019-05-06,306.92
2019-05-13,306.92
2019-05-20,306.92
2019-05-27,306.92
2019-06-03,306.92
2019-06-10,306.92
2019-06-17,306.92
2019-06-24,306.92
2019-07-01,306.92
2019-07-08,306.92
2019-07-15,306.92
2019-07-22,306.92
2019-07-29,306.92
2019-08-05,306.92
2019-08-12,306.92
2019-08-19,306.92
2019-08-26,306.92
2019-09-02,306.92
2019-09-09,306.92
2019-09-16,306.92
2019-09-23,306.92
2019-09-30,306.92
2019-10-07,306.92
2019-10-14,306.92
2019-10-21,306.92
2019-10-28,306.92
2019-11-04,306.92
2019-11-11,306.92
2019-11-18,306.92
2019-11-25,306.92
2019-12-02,306.92
2019-12-09,306.92
2019-12-16,306.92
2019-12-23,306.92
2019-12-30,306.92
2020-01-06,358.81
2020-01-13,358.81
2020-01-20,358.81
2020-01-27,358.81
2020-02-03,358.81
2020-02-10,358.81
2020-02-17,358.81
2020-02-24,358.81
2020-03-02,358.81
2020-03-09,358.81
2020-03-16,358.81
2020-03-23,358.81
2020-03-30,358.81
2020-04-06,358.81
2020-04-13,358.81
2020-04-20,358.81
2020-04-27,358.81
2020-05-04,358.81
2020-05-11,358.81
2020-05-18,358.81
2020-05-25,358.81
2020-06-01,358.81
2020-06-08,358.81
2020-06-15,358.81
2020-06-22,358.81
2020-06-29,358.81
2020-07-06,358.81
2020-07-13,358.81
2020-07-20,358.81
2020-07-27,358.81
2020-08-03,358.81
2020-08-10,358.81
2020-08-17,358.81
2020-08-24,358.81
2020-08-31,358.81
2020-09-07,358.81
2020-09-14,358.81
2020-09-21,358.81
2020-09-28,358.81
2020-10-05,358.81
2020-10-12,358.81
2020-10-19,358.81
2020-10-26,358.81
2020-11-02,358.81
2020-11-09,358.81
2020-11-16,358.81
2020-11-23,358.81
2020-11-30,358.81
2020-12-07,358.81
2020-12-14,358.81
2020-12-21,358.81
2020-12-28,358.81
2021-01-04,401.0
2021-01-11,401.0
2021-01-18,401.0
2021-01-25,401.0
2021-02-01,401.0
2021-02-08,401.0
2021-02-15,401.0
2021-02-22,401.0
2021-03-01,401.0
2021-03-08,401.0
2021-03-15,401.0
2021-03-22,401.0
2021-03-29,401.0
2021-04-05,401.0
2021-04-12,401.0
2021-04-19,401.0
2021-04-26,401.0
2021-05-03,401.0
2021-05-10,401.0
2021-05-17,401.0
2021-05-24,401.0
2021-05-31,401.0
2021-06-07,401.0
2021-06-14,401.0
2021-06-21,401.0
2021-06-28,401.0
2021-07-05,401.0
2021-07-12,401.0
2021-07-19,401.0
2021-07-26,401.0
2021-08-02,401.0
2021-08-09,401.0
2021-08-16,401.0
2021-08-23,401.0
2021-08-30,401.0
2021-09-06,401.0
2021-09-13,401.0
2021-09-20,401.0
2021-09-27,401.0
2021-10-04,401.0
2021-10-11,401.0
2021-10-18,401.0
2021-10-25,401.0
2021-11-01,401.0
2021-11-08,401.0
2021-11-15,401.0
2021-11-22,401.0
2021-11-29,401.0
2021-12-06,401.0
2021-12-13,401.0
2021-12-20,401.0
2021-12-27,401.0
2022-01-03,425.98
2022-01-10,425.98
2022-01-17,425.98
2022-01-24,425.98
2022-01-31,425.98
2022-02-07,425.98
2022-02-14,425.98
2022-02-21,425.98
2022-02-28,425.98
2022-03-07,425.98
2022-03-14,425.98
2022-03-21,425.98
2022-03-28,425.98
2022-04-04,425.98
2022-04-11,425.98
2022-04-18,425.98
2022-04-25,425.98
2022-05-02,425.98
2022-05-09,425.98
2022-05-16,425.98
2022-05-23,425.98
2022-05-30,425.98
2022-06-06,425.98
2022-06-13,425.98
2022-06-20,425.98
2022-06-27,425.98
2022-07-04,425.98
2022-07-11,425.98
2022-07-18,425.98
2022-07-25,425.98
2022-08-01,425.98
2022-08-08,425.98
2022-08-15,425.98
2022-08-22,425.98
2022-08-29,425.98
2022-09-05,425.98
2022-09-12,425.98
2022-09-19,425.98
2022-09-26,425.98
2022-10-03,425.98
2022-10-10,425.98
2022-10-17,425.98
2022-10-24,425.98
2022-10-31,425.98
2022-11-07,425.98
2022-11-14,425.98
2022-11-21,425.98
2022-11-28,425.98
2022-12-05,425.98
2022-12-12,425.98
2022-12-19,425.98
2022-12-26,425.98
2023-01-02,460.0
2023-01-09,460.0
2023-01-16,460.0
2023-01-23,460.0
2023-01-30,460.0
2023-02-06,460.0
2023-02-13,460.0
2023-02-20,460.0
2023-02-27,460.0
2023-03-06,460.0
2023-03-13,460.0
2023-03-20,460.0
2023-03-27,460.0
2023-04-03,460.0
2023-04-10,460.0
2023-04-17,460.0
2023-04-24,460.0
2023-05-01,460.0
2023-05-08,460.0
2023-05-15,460.0
2023-05-22,460.0
2023-05-29,460.0
2023-06-05,460.0
