2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-10-17 | ₦116,444/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-10-24 | ₦116,217/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-10-31 | ₦112,437/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-11-07 | ₦121,066/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-11-14 | ₦120,940/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-11-21 | ₦120,018/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-11-28 | ₦119,155/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-12-05 | ₦114,905/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-12-12 | ₦118,486/MT | Below hard floor 500,000
2026-04-11 15:39:04.890 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-12-19 | ₦118,766/MT | Below hard floor 500,000
2026-04-11 15:39:04.902 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2011-12-26 | ₦117,112/MT | Below hard floor 500,000
2026-04-11 15:39:04.904 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-01-02 | ₦139,323/MT | Below hard floor 500,000
2026-04-11 15:39:04.904 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-01-09 | ₦141,697/MT | Below hard floor 500,000
